,    华山街道办事处,    护国街道办事处,    大观街道办事处,    龙翔街道办事处,    丰宁街道办事处,    莲华街道办事处,    红云街道办事处,    黑林铺街道办事处,    普吉街道办事处,    沙朗街道办事处,    厂口街道办事处,昆明国家高新技术产业开发区,    拓东街道办事处,    鼓楼街道办事处,    东华街道办事处,    联盟街道办事处,    金辰街道办事处,    青云街道办事处,    龙泉街道办事处,    茨坝街道办事处,    双龙街道办事处,    松华街道办事处,    滇源镇,    阿子营镇,    关上街道办事处,    太和街道办事处,    吴井街道办事处,    金马街道办事处,    小板桥街道办事处,    官渡街道办事处,    矣六街道办事处,    六甲街道办事处,    大板桥街道办事处,    阿拉街道办事处,    昆明经济技术开发区,    西苑街道办事处,    马街街道办事处,    金碧街道办事处,    永昌街道办事处,    前卫街道办事处,    福海街道办事处,    棕树营街道办事处,    碧鸡街道办事处,    海口街道办事处,    团结街道办事处,昆明滇池国家旅游度假区,    龙城街道办事处,    洛龙街道办事处,    斗南街道办事处,    乌龙街道办事处,    吴家营街道办事处,    雨花街道办事处,    七甸街道办事处,    洛羊街道办事处,    大渔街道办事处,    马金铺街道办事处
官渡区妇幼保健计划生育服务中心,4.9526432819585136 km,3.9062062389945966 km,5.055032714856711 km,5.328824946153849 km,6.863878400471498 km,7.706002347838156 km,10.745870150463464 km,9.901706616690982 km,10.757302550246514 km,4.668451994552533 km,4.606759139905691 km,10.386231161895525 km,3.225085294843192 km,4.606759139905691 km,4.773891747557226 km,5.059036022801621 km,7.6505070984297845 km,6.766809282426905 km,11.68329179892496 km,15.520295228347372 km,17.2007241333595 km,23.764961047007258 km,35.39949467683483 km,37.443092242324624 km,1.8049908532886245 km,2.287009434382077 km,2.917191971322509 km,4.090677651641543 km,5.863296303531096 km,6.375264101938216 km,9.101746434540885 km,6.43671656235926 km,31.850982244981346 km,6.922074686085997 km,9.969867756002252 km,7.263572327708996 km,8.814460156280344 km,4.418600065927697 km,2.38045637054329 km,1.618145274561017 km,4.452509932862385 km,5.421386133559514 km,10.468493249216783 km,27.170928834243334 km,20.686742141705686 km,6.844215269465493 km,15.182321392660393 km,19.45631080012727 km,12.27537098606219 km,14.612458774626228 km,21.37889259922157 km,21.673224105075715 km,22.999094407480694 km,15.611789860351168 km,20.755588048597595 km,25.485829285663222 km
云南省第三人民医院,2.5604552057583443 km,1.3241730753890095 km,2.8985345802672158 km,3.0699131720098833 km,4.635630298795614 km,5.140323613285074 km,8.195652896574455 km,7.888694922645544 km,8.302629629060027 km,2.156765437662652 km,2.012436655340641 km,8.215606430781357 km,0.7626305017234868 km,2.012436655340641 km,2.5009648992255356 km,2.571010472831701 km,5.1471108392811455 km,4.722795128230746 km,9.31851335563781 km,13.066931672069451 km,16.063897280726525 km,21.86867419606069 km,33.40294668285493 km,35.036406978883726 km,2.8751654948632206 km,0.5593309557836057 km,1.2676309916755872 km,2.949065112655472 km,7.925450406266134 km,8.854979734605152 km,11.682995368614161 km,8.659862677202735 km,30.8991036133398 km,8.145788815819614 km,11.419740348690643 km,5.6064971274496065 km,7.442785593201613 km,2.7726870510051547 km,1.3305304795887543 km,3.037619787945778 km,4.268657659297327 km,3.545813278234575 km,10.809707282312187 km,29.25146556734772 km,19.346142704455097 km,7.713856441809471 km,17.64990244818795 km,21.841785024750408 km,14.758950708392936 km,17.122161493863533 km,23.846050515879945 km,24.180460001503597 km,24.300454759362633 km,17.92754068350809 km,23.349464906208464 km,28.08975222367311 km
昆明市第三人民医院,3.694942036486728 km,2.376568846282434 km,4.063819487711195 km,4.225911494281018 km,5.785980567164786 km,6.117596552487502 km,8.772832017329002 km,9.051971347304391 km,9.358419265135833 km,3.245163036023226 km,2.7921758465471913 km,9.362798644019248 km,1.385790941024964 km,2.7921758465471913 km,2.731328110781171 km,3.0920081163650806 km,5.656096131679572 km,4.723041304990845 km,9.630810032333825 km,13.48263567291998 km,15.552226837339015 km,21.7913893956928 km,33.40005531083609 km,35.390480827845735 km,1.7483483041133108 km,0.606849322981667 km,0.8604493679013059 km,2.2778437148258974 km,6.825851595996236 km,7.917719358148669 km,10.843725964137937 km,8.461008991746887 km,30.324723755471812 km,6.98290020961449 km,10.25377656452057 km,6.755869580352672 km,8.56514592452955 km,3.8884115125128393 km,2.104407916009022 km,3.094056086567238 km,5.044088837815632 km,4.704037642014112 km,11.520677308868228 km,29.17692897584117 km,20.485064702175478 km,8.19858645120336 km,16.67179830314501 km,20.809786085343713 km,13.7985376206783 km,16.178611934754414 km,22.860258317526117 km,23.22600363092943 km,23.14562410490198 km,16.86951307532264 km,22.516264111395163 km,27.285793120804204 km
官渡街道社区卫生服务中心,11.402655253116134 km,10.292317986862978 km,11.487634072624333 km,11.77338850144227 km,13.290534914255556 km,14.109002727226938 km,16.683580103275574 km,16.19589451064686 km,17.208077839329437 km,11.095972079083275 km,10.851527864460943 km,16.75987636941162 km,9.436358593390038 km,10.851527864460943 km,10.60557689663055 km,11.107706530870809 km,13.570551165370404 km,12.02039470360321 km,17.113308166985295 km,21.058387990481695 km,19.54609936623261 km,27.610576453765237 km,39.291345405465584 km,42.571761132562145 km,6.479145661877027 km,8.525108958119807 km,8.78744198308315 km,9.020002367482991 km,2.9188478722127296 km,0.3899878078442011 km,2.87723504047265 km,6.000328880853753 km,33.084595164713015 km,5.985882353160215 km,6.974135681958452 km,13.418831048604085 km,14.668848450522733 km,10.742814990819431 km,8.791863975033598 km,7.158843073044906 km,9.896476893316066 km,11.769219925779426 km,13.869956885836196 km,24.26993486864295 km,26.088788670919662 km,10.098197294443455 km,8.74119055439755 km,13.083172054647001 km,5.829267718797966 km,8.162511774026733 km,14.933446871658477 km,15.223620713991783 km,18.96236322660024 km,9.37659385819042 km,14.482398742073004 km,19.280629229045207 km
关上街道社区卫生服务中心,5.845188000845509 km,4.532898984551395 km,6.173333892045294 km,6.359692593239606 km,7.926346270025596 km,8.232269105957831 km,10.512727493944562 km,11.164196227845753 km,11.502945052268396 km,5.4020437577158 km,4.862852196114509 km,11.506344455554126 km,3.5072344578100414 km,4.862852196114509 km,4.445850124614105 km,4.9930063570169425 km,7.402747143540157 km,5.933164554119215 km,11.028518839972369 km,14.960028458271426 km,15.4254143755337 km,22.42850466819544 km,34.11493563582944 km,36.68025981426404 km,0.4171185221145638 km,2.743144729698922 km,2.702591544797053 km,2.9372821131395863 km,4.677672719236539 km,5.976436029478059 km,9.02493866879886 km,7.883571400952573 km,29.95846231777815 km,5.036757780477116 km,8.228223220931275 km,8.750488307947215 km,10.466327686383565 km,5.84424103482987 km,3.8331860286032846 km,3.6751305083820442 km,6.4030997787572055 km,6.7467198579149175 km,12.52627975679949 km,28.53732227562357 km,22.398989668290877 km,8.885893299718271 km,14.626658308237996 km,18.703102507392103 km,11.782213690335665 km,14.177352412642255 km,20.79893035762372 km,21.199964804554106 km,21.209691427333414 km,14.74256279479235 km,20.649702519289953 km,25.45165515770805 km
金马街道社区卫生服务中心,4.557538434098215 km,3.266544977037153 km,5.171262776835024 km,5.176684508655959 km,6.549655007471065 km,6.057480237586572 km,7.540260575112188 km,9.851144332134636 km,9.402348827654494 km,3.988123727452047 km,2.914430751917512 km,9.93915957262304 km,2.3237009375178284 km,2.914430751917512 km,1.8222874695285487 km,2.5590439770440665 km,4.503739804572976 km,2.8222625958615395 km,7.919783231297194 km,11.855807638802492 km,13.291587539921375 km,19.60542990554371 km,31.24947998757489 km,33.581488441552075 km,2.908323698352277 km,2.5302573002928876 km,1.6126029016003427 km,0.24468721280266795 km,7.320069826840384 km,8.997409329545285 km,12.093221656309868 km,10.58666955255245 km,28.091437299558592 km,6.469681488083435 km,9.75910705856808 km,8.036506949308569 km,9.97120594223929 km,5.446495680756879 km,4.152553654594862 km,5.368159898214074 km,7.120029790743095 km,5.9881988731227125 km,13.65625404734508 km,31.32383821832082 km,21.705372806941305 km,10.445281445927906 km,17.451142844571432 km,21.35397631446843 km,14.670678722078371 km,17.074062298685728 km,23.566443328600688 km,24.03461175001468 km,22.24572032183035 km,17.33361101204457 km,23.662065192597023 km,28.479685674292984 km
六甲街道社区卫生服务中心,9.046720933579639 km,8.425395903012944 km,8.822741028586703 km,9.177830485730704 km,10.434972212032049 km,11.924254217292455 km,15.483734320956575 km,12.736082462719363 km,14.495383973722873 km,8.980595123990932 km,9.297664509315789 km,13.489207930820344 km,8.035524697438083 km,9.297664509315789 km,9.69222975748217 km,9.881344078423567 km,12.461893181855272 km,11.732604144888148 km,16.60023815450746 km,20.3813966725232 km,21.699558913471712 km,28.676247328877032 km,40.33413057692103 km,42.345007902346175 km,6.334643641829577 km,7.146942584998803 km,7.872934920949966 km,8.989031054683348 km,6.773549540571754 km,5.2556153496664875 km,6.32364715809748 km,1.5652936234453432 km,36.0506931123412 km,9.389163074956583 km,11.456044875807386 km,9.8675940735734 km,10.659212164203065 km,7.7905455886661 km,6.427408589120913 km,4.374980993396777 km,6.028337510626271 km,8.752161435723265 km,8.869740532134598 km,22.249496197276187 km,21.45903985490905 km,5.165087595725006 km,12.780208817741615 km,17.291154765375694 km,9.982730008105928 km,11.974986464375295 km,18.740658085602654 km,18.792728244267078 km,23.926659847884974 km,13.942944195465696 km,17.171816953624866 km,21.68421741101925 km
太和街道社区卫生服务中心,3.1428428841628087 km,2.1024025354422164 km,3.3122479202229145 km,3.5563834338087914 km,5.115169799836336 km,5.88489720646669 km,9.079211700420919 km,8.260570635210357 km,8.947681741523898 km,2.8454394022972127 km,2.8891410154555106 km,8.676297952756812 km,1.6353592019788212 km,2.8891410154555106 km,3.3584509400997136 km,3.4636986169824246 km,6.039284105551912 km,5.5481605893361 km,10.208169259870203 km,13.959847869992169 km,16.704457703597374 km,22.69526402016946 km,34.2510292663598 km,35.9294448837096 km,2.565217916478392 km,0.8996325540730058 km,1.8214032283710424 km,3.4544950450038208 km,7.444329975617359 km,8.174248669716333 km,10.924493330100532 km,7.768873866748911 km,31.505782952749517 km,7.986529662473817 km,11.201482464581352 km,5.7786196948367285 km,7.502839595190942 km,2.871687763020018 km,0.8968694191352514 km,2.1605180903079186 km,3.8047684515090614 km,3.7989160750991595 km,10.29065979707407 km,28.38040869319886 km,19.43793754732501 km,7.032060864318911 km,16.982697565717473 km,21.226553892407477 km,14.080102640097305 km,16.425692637211164 km,23.180493273320813 km,23.4868019924757 km,24.168216249023445 km,17.3494246777425 km,22.574452738177435 km,27.297659861202135 km
吴井街道社区卫生服务中心,4.135561021533057 km,2.796476456435972 km,4.524402809300406 km,4.677704864862677 km,6.232468493802321 km,6.481495359935198 km,8.961444237212397 km,9.508457583542203 km,9.750660836808263 km,3.6683610543757874 km,3.1204015836984818 km,9.805266222715217 km,1.754360346848136 km,3.1204015836984818 km,2.8735349148218807 km,3.3246804528131157 km,5.837721787115123 km,4.715948012011875 km,9.708204433648065 km,13.591486181770348 km,15.287417171555834 km,21.68952674122902 km,33.32177137898958 km,35.45707208862382 km,1.3613919011093878 km,1.0732092912704165 km,1.0051612897117526 km,2.046861385097969 km,6.430611314528072 km,7.622112829449089 km,10.593869829607273 km,8.513999226944684 km,30.028145204182344 km,6.514885965788279 km,9.789847715968465 km,7.226557435027829 km,9.035092996748137 km,4.358627862304 km,2.5412455130205407 km,3.3171514878328585 km,5.44782769574284 km,5.1733432329024565 km,11.888988440903562 km,29.248647750336893 km,20.95590472683176 km,8.503774985207889 km,16.341559837672147 km,20.447627281463674 km,13.480114620929461 km,15.867433771343405 km,22.52323574986961 km,22.905666352089742 km,22.67518374312663 km,16.49339734393711 km,22.25809266054916 km,27.04004726808761 km
小板桥社区卫生服务中心,10.44554300662448 km,9.16589714706835 km,10.703233214749227 km,10.924961070120471 km,12.493650309235596 km,12.876895221659833 km,14.848800571696168 km,15.652888504177275 km,16.14859089142527 km,10.029524537241661 km,9.501584682502507 km,16.06739580287394 km,8.154305951137266 km,9.501584682502507 km,8.948003925583722 km,9.565513837872011 km,11.81392130349188 km,9.971317496442428 km,14.972134266662062 km,18.905217657433994 km,16.715371228471607 km,24.89649320137563 km,36.55556901071086 km,40.123621404002044 km,5.0460462200539045 km,7.3584842723817205 km,7.331098249421465 km,7.085183839774728 km,0.0956811373157297 km,2.46284815098622 km,5.427830079313027 km,8.01576577061846 km,30.283906894450933 km,3.1538323516409257 km,4.794501866025434 km,13.066576317469307 km,14.597981226810807 km,10.19786384021146 km,8.136561489408345 km,7.055651963189738 km,10.029946338721327 km,11.17575367062525 km,15.084498350449616 km,27.09851546925805 km,26.39931929814411 km,11.227327227181092 km,10.139094849706884 km,14.086740269497664 km,7.400161393693243 km,9.798457765613279 km,16.254068274109457 km,16.721080149934046 km,17.592271485862252 km,10.103898469994757 km,16.520978940079086 km,21.357871665160886 km
矣六街道社区卫生服务中心,15.99251318682888 km,14.987754260455421 km,15.979103323584955 km,16.294438333823692 km,17.743474645898083 km,18.78878908482443 km,21.556730027617792 km,20.402733730636253 km,21.757328528403193 km,15.747128366730815 km,15.62383467902601 km,21.06999678305447 km,14.208511057569293 km,15.62383467902601 km,15.466951231790008 km,15.937180990763624 km,18.436989705229 km,16.921922656480877 km,22.014183303924188 km,25.959539895353483 km,23.75502120926502 km,32.190707462205204 km,43.819914012575225 km,47.41412065675589 km,11.344951299539622 km,13.27741442975736 km,13.621257935779445 km,13.920914134615106 km,7.378976262318129 km,5.151542391074165 km,2.0295406970032297 km,7.92156228063412 km,36.533945968440534 km,10.161539669792106 km,9.765084918250693 km,17.54760858725945 km,18.506778568772237 km,15.10935608746493 km,13.306185056508658 km,11.443042841176373 km,13.780651219963717 km,16.131451523805634 km,16.132923728693157 km,21.06874323670715 km,29.224328213887848 km,12.816093384075813 km,5.079559170101343 km,9.569812683245091 km,2.7914240395870094 km,4.170853222013323 km,10.858277808624159 km,10.915250741182613 km,19.060695773779074 km,6.810957046349131 km,9.671993500230014 km,14.426690781532493 km
大板桥街道社区卫生服务中心,18.14577362378938 km,16.922710796842676 km,18.803885501308 km,18.76332972161479 km,19.964075207884104 km,18.7450090938693 km,17.285650825757546 km,23.104257502828567 km,21.683279106664273 km,17.574408440316855 km,16.399691232698455 km,22.94206136107318 km,15.979909585320513 km,16.399691232698455 km,15.081321163187031 km,15.76376890798043 km,15.958001861879689 km,13.75450812520482 km,15.523484110288601 km,17.999780300982405 km,7.834608988356813 km,17.053470314569484 km,27.406143716767982 km,33.94865958994074 km,14.543994806912798 km,15.945104711332242 km,15.146140138316197 km,13.517617126037576 km,13.133154265406917 km,15.508864924082769 km,17.71282352418363 km,21.066021012385388 km,17.544028666391387 km,10.221443033482466 km,9.264807134157884 km,21.661131461545338 km,23.61484857712372 km,19.105140913664513 km,17.55663179447682 km,17.942485583412637 km,20.472227604848392 km,19.641369646467695 km,26.791159696979115 km,39.94486158632787 km,35.13178215616366 km,23.141990216726924 km,18.610427359627238 km,20.029700275268603 km,17.35358566861077 km,19.00280151721029 km,22.717849936972957 km,23.71659280259365 km,12.058332711204763 km,16.765984069615744 km,25.485354986442783 km,29.898967427094476 km
阿拉社区卫生服务中心,16.19877161970694 km,14.832488355971906 km,16.714589281024768 km,16.799029635162363 km,18.26443821346956 km,17.734175601726207 km,17.797218546597342 km,21.581945618961463 km,21.029753851229415 km,15.65133882650818 km,14.663753565394586 km,21.69864872980698 km,13.747478822465528 km,14.663753565394586 km,13.536743892975506 km,14.285250922190604 km,15.5018363855432 km,13.14716801163852 km,16.770031354449458 km,20.154745090744985 km,12.881334523769485 km,22.189554236387938 km,33.18121294856756 km,38.793916564399694 km,11.310020280241215 km,13.345369841463075 km,12.802199942447977 km,11.536263631820566 km,8.043629131268853 km,10.024588782788047 km,11.726317583349523 km,16.13101208037641 km,23.88640975492454 km,5.926105435308914 km,3.419139798125281 km,19.497798936654146 km,21.31532931431411 km,16.640296181870475 km,14.722780260984308 km,14.403604469881262 km,17.296057956878183 km,17.43069029251543 km,23.006521219137245 km,33.87495197152226 km,33.23698079981014 km,19.171818468906835 km,12.256435040061778 km,14.046038388314011 km,11.003783031447165 km,12.626466184193974 km,16.723771144093476 km,17.649552069148356 km,10.486680812268396 km,10.523233490042921 km,19.177585730559045 km,23.682979005442824 km
航天社区卫生服务中心,14.157193718926132 km,12.786083002072706 km,14.590557663946539 km,14.72671627744079 km,16.2575835842618 km,16.054466756525624 km,16.829885256459466 km,19.560869501382975 km,19.401185539526423 km,13.64350200759758 km,12.789926973240386 km,19.793481100606776 km,11.691031276260883 km,12.789926973240386 km,11.821567114962994 km,12.554611523088015 km,14.189392259610319 km,11.922420761839277 km,16.210066564246194 km,19.890088352298122 km,14.44751483274995 km,23.48988562231077 km,34.824189184612344 km,39.703683251141854 km,8.926166773259936 km,11.13999397238367 km,10.748976753318164 km,9.75859719464734 km,5.018156578102391 km,6.901943759906038 km,8.708546857022954 km,13.046635873390112 km,26.570164197497164 km,3.5728893841944713 km,0.3176380790511082 km,17.25962857507176 km,18.983056322877232 km,14.357333233302239 km,12.350480869575135 km,11.75229243824559 km,14.709645672489906 km,15.230219118500088 km,20.142212988254684 km,30.926353834631044 km,30.911054955968247 km,16.288979118416947 km,10.244057027886173 km,12.890658882992234 km,8.481653840398085 km,10.41446003916768 km,15.468518743697674 km,16.252456904179528 km,12.725311459067816 km,8.988553532628634 km,17.23142552820821 km,21.91955716903586 km
出口加工区社区卫生服务中心,13.413652532337698 km,12.118008772053233 km,13.684110774760255 km,13.901521323321816 km,15.470859301840319 km,15.78485405122048 km,17.487358165116316 km,18.63717831400262 km,19.081679640809075 km,12.985653005984817 km,12.404719484678205 km,19.046957807455883 km,11.086805826425982 km,12.404719484678205 km,11.754964242065672 km,12.408337646600035 km,14.531738465398517 km,12.532597898197949 km,17.372453132772048 km,21.253486989928845 km,17.53579941754569 km,26.24677357029918 km,37.77409533159059 km,41.99672756792833 km,7.993240447227279 km,10.317983845689145 km,10.233161755294011 km,9.797752145881038 km,2.9364550285040623 km,3.604134231187994 km,5.009303788738851 km,9.903846487858685 km,30.19999914720751 km,4.315690155112598 km,3.46076732852323 km,16.042542915351543 km,17.545611473114896 km,13.180120942658151 km,11.119575774128785 km,9.966297751055109 km,12.918361479000147 km,14.159882528144095 km,17.586259160017807 km,27.233045311819197 km,29.29129573315302 km,13.754510177863233 km,7.7360368443885 km,11.339209191076822 km,5.355186294221405 km,7.611675957818443 km,13.648705073042185 km,14.225082255358446 km,15.099116663145104 km,7.303823836469129 km,14.509574546058086 km,19.319666132208017 km
小街社区卫生服务中心,5.529572005956413 km,4.595046393394624 km,5.542329975634037 km,5.8445178495786765 km,7.334913891278815 km,8.347777822233 km,11.527627774604897 km,10.244446838926603 km,11.305410601449314 km,5.304276265952455 km,5.357524612313056 km,10.791716129653363 km,4.0067465215164955 km,5.357524612313056 km,5.598689350909581 km,5.853138844866822 km,8.447087461732878 km,7.609956234363998 km,12.511349475140754 km,16.335249894924097 km,17.96056141303551 km,24.602171729735307 km,36.24047063415144 km,38.269844420390406 km,2.473752114484862 km,3.081317382651266 km,3.754822956617137 km,4.919018926973563 km,5.760315313292288 km,5.9369527746243955 km,8.510641118895586 km,5.594467601198139 km,32.565006847928316 km,7.187391987609044 km,10.094445553434356 km,7.514116083931141 km,8.934274069202509 km,4.775628410799327 km,2.850307269632728 km,1.3669015013820665 km,4.347840472000535 km,5.801099767794829 km,10.017775019329429 km,26.330211183992215 km,20.707817822589934 km,6.296618303944349 km,14.70726010189705 km,19.039195084125957 km,11.793591984317507 km,14.098473814697114 km,20.894094447178283 km,21.151485610602336 km,23.112403722371283 km,15.253062543164928 km,20.12390632157316 km,24.828433775055355 km
世纪城社区卫生服务中心,10.192735844498337 km,9.08453612216523 km,10.281775471727782 km,10.565663893441036 km,12.086007509898161 km,12.901380924475392 km,15.52739096284049 km,15.012093202119901 km,15.998240577048229 km,9.886346587463134 km,9.653659903510626 km,15.564578016750799 km,8.237539957118342 km,9.653659903510626 km,9.439998661383942 km,9.926049125611522 km,12.409023189422 km,10.921804490152601 km,16.021134590491528 km,19.962130136770625 km,18.930675667960305 km,26.786686159269077 km,38.48230584505258 km,41.56171694103494 km,5.315505875799956 km,7.3222056441432155 km,7.606266245173342 km,7.914919660842278 km,2.6159933884307884 km,1.174194953077789 km,4.001634894799696 km,5.5726428833764405 km,32.72628121032909 km,5.600896470680673 km,7.1645552667981445 km,12.249995978934297 km,13.542189991218663 km,9.549122867901506 km,7.587005454069542 km,5.99154667452254 km,8.786103059871792 km,10.57423802351459 km,13.084838921294551 km,24.744062305097717 km,25.05583937269691 km,9.26130004889846 km,9.945711529720285 km,14.266768164915536 km,7.035624031680752 km,9.372610368042084 km,16.140025033438107 km,16.433719776974073 km,19.592323292746837 km,10.515628264196486 km,15.656686967032412 km,20.442919212923716 km
新亚洲体育城卫生服务中心,12.346842330672606 km,11.258859670406338 km,12.409465717786125 km,12.70250556754559 km,14.206666913180454 km,15.07544282711812 km,17.686075398420083 km,17.061839246055232 km,18.149365799683125 km,12.053549314437484 km,11.83514197975014 km,17.649370956963715 km,10.418961643669896 km,11.83514197975014 km,11.605964079762108 km,12.10270291110119 km,14.572020248899037 km,13.022381458184308 km,18.113920319609434 km,22.059338963904846 km,20.34543062886138 km,28.51344244377705 km,40.183709604189254 km,43.54986663038048 km,7.479306734859713 km,9.502465324596384 km,9.782428765891705 km,10.023032944453337 km,3.708889370171682 km,1.2657362856652297 km,1.8816898240246671 km,6.193759814797986 km,33.712019946020234 km,6.721278977653816 km,7.308421050601985 km,14.261353000829121 km,15.448263372389299 km,11.633656415651773 km,9.71287310890965 km,8.013289052161147 km,10.666338589545251 km,12.66167111804177 km,14.286009104590851 km,23.616193211804063 km,26.73904850008082 km,10.584632339651863 km,7.848150925270928 km,12.246565139341673 km,4.935245024373869 km,7.2268170791284865 km,14.02465175904898 km,14.283826593318517 km,18.813164485176415 km,8.640521789096509 km,13.482893105811934 km,18.27819931842771 km
官渡区小板桥街道四甲社区卫生服务站预防接种点,9.294519947084945 km,8.359804407786203 km,9.25948190139092 km,9.578062552484123 km,11.021973098170358 km,12.123277412067331 km,15.183403599983333 km,13.741049708938867 km,15.03924696088672 km,9.079908482315815 km,9.07661090182609 km,14.37506637699787 km,7.684093787462712 km,9.07661090182609 km,9.130768351353503 km,9.494212855352611 km,12.069527653527194 km,10.906558039058112 km,15.962706802774155 km,19.859043268563095 km,19.948153350487924 km,27.39456715434841 km,39.09299794197166 km,41.682516936535244 km,5.198218276235937 km,6.742343828898638 km,7.242813081907675 km,7.953718865933401 km,4.35637077323267 km,2.93059331391669 km,4.827862168883468 km,3.765052119675512 km,34.05145401277535 km,7.10879627165589 km,9.021025187923087 km,10.91019011535873 km,12.03671001196067 km,8.392262634849384 km,6.597206822016073 km,4.727200116762441 km,7.25477470768859 km,9.416700716942763 km,11.1719644070617 km,23.71854031577319 km,23.341854450820883 km,7.365606163405106 km,11.207488548191758 km,15.648522594191796 km,8.310616531900198 km,10.51654249335113 km,17.339606094581107 km,17.525777879746368 km,21.520914393564937 km,12.061030985909296 km,16.36155331119605 km,21.054216381588695 km
小板桥街道晓东社区卫生服务站,8.486591836762763 km,7.212212291665159 km,8.746751971942308 km,8.966233941587221 km,10.535154319680615 km,10.943241212316128 km,13.092339863370361 km,13.704442099558994 km,14.200370466827094 km,8.07385645256572 km,7.575940560647584 km,14.110008250759753 km,6.212247403655464 km,7.575940560647584 km,7.097684928250403 km,7.683210070700457 km,10.014847704509393 km,8.315527501121991 km,13.389766395120676 km,17.335735292454444 km,16.252396414966842 km,23.984927800110896 km,35.68253653737023 km,38.811277155334025 km,3.101725889304043 km,5.402646346994381 km,5.4132255708906 km,5.344117236557372 km,2.0014887278756093 km,3.489350338390166 km,6.629576375066006 km,7.385811088311918 km,30.298480865385095 km,3.559712808360693 km,6.201198187535358 km,11.146678638218958 km,12.723185612363968 km,8.263850591764703 km,6.201367537723286 km,5.274567445157017 km,8.252938988379398 km,9.232109906894035 km,13.688245461307883 km,27.387191671723187 km,24.57933106174901 km,9.854788903791514 km,11.941576089886244 km,15.990238618772446 km,9.124722699395068 km,11.526724469109844 km,18.10067065688683 km,18.522264252132228 km,19.203937659798903 km,12.031810711665026 km,18.10875422540755 km,22.932323197781425 km
滇中新区管委会临时接种点,29.400752014838446 km,28.40261438649756 km,30.11620859060194 km,29.977174885966328 km,30.843412038960135 km,29.09959598807227 km,26.180915240435795 km,33.552359345660044 km,31.333261750121963 km,28.863574793073045 km,27.6608705629689 km,33.1155332937169 km,27.651287391897625 km,27.6608705629689 km,26.34866974788123 km,26.894023767853874 km,26.147467984297606 km,24.457292960444907 km,23.8475050203737 km,24.385286667618267 km,13.113517446747656 km,16.543107811675032 km,21.623886175215777 km,31.19367827316091 km,26.92512095871563 km,27.863910184884027 km,26.971693598440716 km,25.285941913765466 km,26.15056152947757 km,28.547725058150643 km,30.704441456283675 km,33.967621679403194 km,6.108238500812025 km,23.18074793282341 km,22.236963729281964 km,32.81805315278856 km,34.76670809955769 km,30.687162029828933 km,29.506086141209792 km,30.293772665201264 km,32.48147933963843 km,30.984817497476588 km,38.994535315098034 km,52.92467892497946 km,45.31597126300655 km,35.557413314503385 km,30.8122604124363 km,31.203378165245027 km,30.00788862495082 km,31.367956026200716 km,33.781561189022824 km,34.90702574852803 km,18.789245576463937 km,28.66041646613221 km,37.33726086388578 km,41.329879284201326 km
昆明云桥医院,18.876387020414782 km,17.663913617338636 km,19.539282343288846 km,19.49288443205473 km,20.67641412268746 km,19.42077250616377 km,17.852943447551333 km,23.797990092746865 km,22.32356229779098 km,18.305737886978566 km,17.126267697585952 km,23.61888172660721 km,16.73028751858667 km,17.126267697585952 km,15.804266083352987 km,16.48001538862441 km,16.610473848525984 km,14.4321505055912 km,16.03390665348575 km,18.390014185955494 km,7.861564379707272 km,16.94842595059837 km,27.10029693093036 km,33.85712091498441 km,15.328455949840416 km,16.709205453759868 km,15.903680812739832 km,14.26796605326291 km,13.913105573601184 km,16.278075127638918 km,18.448979537098023 km,21.85682699250316 km,16.873143390065085 km,11.011070130240729 km,9.989782621503933 km,22.39299321208248 km,24.349452832113744 km,19.85617719202223 km,18.324566404459706 km,18.728109975916503 km,21.245881121089585 km,20.380147615755778 km,27.575479633997332 km,40.680530906575555 km,35.828941072275605 km,23.931516331681113 km,19.200396293568446 km,20.489015962150233 km,18.014099720775228 km,19.618126251469626 km,23.173615486480237 km,24.189869390325278 km,11.958440663297479 km,17.30637488813325 km,26.041716684159923 km,30.412681055484917 km
小板桥街道卫生服务中心,10.478288764586157 km,9.194771651896442 km,10.740750798776615 km,10.960466789959712 km,12.52946200346899 km,12.899218758306619 km,14.848239406328679 km,15.693975514120254 km,16.174778237804396 km,10.059343665472188 km,9.52269434338076 km,16.104298266778397 km,8.179417459792154 km,9.52269434338076 km,8.958473103616726 km,9.579695962732666 km,11.81803873086307 km,9.964239976293431 km,14.958223917525299 km,18.889710481718566 km,16.653018449420045 km,24.847693406766876 km,36.50455559860867 km,40.09154094678944 km,5.072870816267393 km,7.388694235337975 km,7.351419798710725 km,7.086557945266419 km,0.013051265906966194 km,2.528850873538671 km,5.476766830394737 km,8.098445833396577 km,30.20924522079464 km,3.0818936976793245 km,4.714370719767153 km,13.113760861136836 km,14.651008754084787 km,10.242301428556267 km,8.180521065742594 km,7.114466234600304 km,10.090061052786728 km,11.218078492084611 km,15.160033898779405 km,27.1698471188604 km,26.457821567412854 km,11.302857063293407 km,10.141070247629115 km,14.073457848379652 km,7.411727957912593 km,9.808407671969292 km,16.24940740460137 km,16.72191585269589 km,17.520366735021355 km,10.085876730544955 km,16.540885152650983 km,21.37808526851668 km
